Poro,Área do Círculo (mm²)
1,0.07829180559720825
2,0.1036377479803951
3,1.009818553035283
4,0.02447693864433473
5,0.26160633388360716
6,0.07998455246351394
7,0.3730289070245525
8,0.09234069937531753
9,0.09234069937531753
10,0.043097154173697354
11,0.11971431714915932
12,0.01915429074386549
13,0.04185701342137714
14,0.03824521663177302
15,0.01521661755219182
16,1.0525898308069108
17,0.027382669896121512
18,0.15298086652709209
19,0.30314652302519446
20,0.013768277987438285
21,0.010464253355344285
22,0.05507311194975314
23,0.013768277987438285
24,0.062360070384919364
25,0.013768277987438285
26,0.017524908733517766
27,3.0241692196944987
28,0.41068573570814443
29,0.34068567411915013
30,0.19032087093089411
31,0.043097154173697354
32,0.04956942160368972
33,0.062360070384919364
34,0.2317343303605655
35,0.28039853973628426
36,0.5214022433112724
37,0.019996138115878484
38,0.05091818782336645
39,0.33023047288608554
40,0.2932887618625907
41,0.27722124481610616
42,0.013071264571900646
43,2.419532712021297
44,0.13694955796972638
45,0.2965565780055659
46,0.1577241786016599
47,0.15063636685664727
48,0.04956942160368972
49,0.032587640206954524
50,0.04435539917057699
51,0.022630305699273975
52,0.07661716297546196
53,0.021734145593582724
54,0.029410345286776458
55,0.8699089510800916
56,0.25548709922252344
57,0.16989928306786928
58,0.008146910051738631
59,0.01239235540092243
60,0.15063636685664727
61,0.07170186057757966
62,0.019996138115878484
63,1.865787235804622
64,0.04185701342137714
65,0.33023047288608554
66,0.04185701342137714
67,0.03824521663177302
68,0.013071264571900646
69,0.018330547616411917
70,0.1483099714307619
71,0.28359393890102175
72,0.3098088850230607
73,0.06540158347090179
74,0.015967943701407715
75,0.09790775457733893
76,0.10754826480522964
77,0.02542741148370424
78,0.06387177480563086
79,0.032587640206954524
80,0.10754826480522964
81,1.1025575457909076
82,0.9917595690872623
83,0.09417828019809857
84,0.02447693864433473
85,0.019996138115878484
86,0.24346588083506912
87,1.8822620983536933
88,0.01673737409518303
89,0.011088849792644247
90,0.01915429074386549
91,0.1625399076544654
92,0.013768277987438285
93,0.5084486563290079
94,0.07661716297546196
95,0.31993820985405574
96,0.03943104465041498
97,0.01521661755219182
98,0.04063497691361635
99,0.020856089732450896
100,0.031510437655669084
101,0.11558654938961176
102,0.09603396526543903
103,0.07496062459827511
104,0.11153119860830185
105,0.2174772377700229
106,0.023544570049524642
107,0.04435539917057699
108,0.7665427667680877
109,0.09979964813379823
110,0.011731550474503628
111,0.019996138115878484
112,0.11153119860830185
113,0.04185701342137714
114,1.0525898308069108
115,0.027382669896121512
116,0.01915429074386549
117,0.33718250279690254
118,1.0649731340855535
119,0.04563174841201604
120,0.04823875962857241
121,0.028387455469169272
122,0.07998455246351394
123,0.26160633388360716
124,0.40683858373926785
125,0.607225414645199
126,0.062360070384919364
127,0.04185701342137714
128,2.2720917443293867
129,0.027382669896121512
130,12.604175062267634
131,0.032587640206954524
132,0.04956942160368972
133,3.3904180871315486
134,0.5345187684945716
135,0.6945602903998371
136,0.2317343303605655
137,15.016963943190547

Resumo
Total de Poros (filtrados),137
Área média real (pixels brancos),0.10670854365041327
Área média dos círculos,0.4756614069147031
Área mínima considerada (mm²),0.005
